10:41:36.974 [ApplicationImpl pooled thread 42] INFO  c.b.l.BrowserStackRunExtension - maven
10:41:36.975 [ApplicationImpl pooled thread 42] INFO  com.browserstack.utils.Helpers - null
10:57:42.901 [ApplicationImpl pooled thread 48] INFO  c.b.l.BrowserStackRunExtension - application
10:57:42.901 [ApplicationImpl pooled thread 48] INFO  com.browserstack.utils.Helpers - null
11:01:46.547 [ApplicationImpl pooled thread 49] INFO  c.b.l.BrowserStackRunExtension - application
11:01:46.547 [ApplicationImpl pooled thread 49] INFO  com.browserstack.utils.Helpers - null
11:03:01.442 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - application
11:03:01.442 [ApplicationImpl pooled thread 83] INFO  com.browserstack.utils.Helpers - null
11:03:27.415 [ApplicationImpl pooled thread 58] INFO  c.b.l.BrowserStackRunExtension - application
11:03:27.415 [ApplicationImpl pooled thread 58] INFO  com.browserstack.utils.Helpers - null
11:03:47.711 [ApplicationImpl pooled thread 81] INFO  c.b.l.BrowserStackRunExtension - application
11:03:47.711 [ApplicationImpl pooled thread 81] INFO  com.browserstack.utils.Helpers - null
11:04:15.440 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - application
11:04:15.440 [ApplicationImpl pooled thread 83] INFO  com.browserstack.utils.Helpers - null
11:07:27.151 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - application
11:07:27.151 [ApplicationImpl pooled thread 83] INFO  com.browserstack.utils.Helpers - null
11:08:04.641 [ApplicationImpl pooled thread 81] INFO  c.b.l.BrowserStackRunExtension - application
11:08:04.641 [ApplicationImpl pooled thread 81] INFO  com.browserstack.utils.Helpers - null
11:08:13.865 [ApplicationImpl pooled thread 89] INFO  c.b.l.BrowserStackRunExtension - application
11:08:13.865 [ApplicationImpl pooled thread 89] INFO  com.browserstack.utils.Helpers - null
11:08:57.318 [ApplicationImpl pooled thread 85] INFO  c.b.l.BrowserStackRunExtension - application
11:08:57.318 [ApplicationImpl pooled thread 85] INFO  com.browserstack.utils.Helpers - null
11:39:22.537 [ApplicationImpl pooled thread 141] INFO  c.b.l.BrowserStackRunExtension - application
11:39:22.537 [ApplicationImpl pooled thread 141] INFO  com.browserstack.utils.Helpers - null
11:41:10.420 [ApplicationImpl pooled thread 133] INFO  c.b.l.BrowserStackRunExtension - testng
11:41:10.420 [ApplicationImpl pooled thread 133] INFO  com.browserstack.utils.Helpers - null
11:41:10.421 [ApplicationImpl pooled thread 133] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
